Country,lat,long,comm,Non-comm,GNI
Sudan,12.862807,30.217636,496,551,2370
Suriname,3.919305,-56.027783,84,375,15860
Swaziland,-26.522503,31.465866,884,702,6220
Sweden,60.128161,18.643501,19,333,44760
Switzerland,46.818188,8.227512,14,292,56580
Syria,34.802075,38.996815,41,573,
Tajikistan,38.861034,71.276093,148,753,2500
Tanzania,-6.369028,34.888822,584,570,1750
Thailand,15.870032,100.992541,123,449,13510
Timor-Leste,-8.874217,125.727539,344,671,6410
Togo,8.619543,0.824782,682,679,1180
Trinidad and Tobago,10.691803,-61.222503,80,705,26210
Tunisia,33.886917,9.537499,65,509,10960
Turkey,38.963745,35.243322,44,555,18760
Turkmenistan,38.969719,59.556278,116,1025,12920
UAE,23.424076,53.847818,36,547,
Uganda,1.373333,32.290275,697,664,1370
Ukraine,48.379433,31.16558,69,749,8960
United Kingdom,55.378051,-3.435973,29,359,35760
Uruguay,-32.522779,-55.765835,46,446,18930
USA,37.09024,-95.712891,31,413,53960
Uzbekistan,41.377491,64.585262,86,811,5340
Venezuela,6.42375,-66.58973,58,411,17890
Viet Nam,14.058324,108.277199,96,435,5030
Yemen,15.552727,48.516388,515,627,3820
Zambia,-13.133897,27.849332,764,587,3070
Zimbabwe,-19.015438,29.154857,711,599,1560
