SPONSOR,CATEGORY,AIRDATE,AIRTIME,PROGRAM,AFFILIATION,TONE
"PRYOR, MARK",US SENATE,20130603,1824,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0912,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0959,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1844,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2234,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0617,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0841,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0729,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1635,JEOPARDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0813,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0857,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2332,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1726,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1812,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0553,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0628,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0518,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2221,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1837,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1058,PRICE IS RIGHT-CBS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2158,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2218,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0724,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2142,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1724,KNWA 5PM NEWS,DEMOCRAT,POSITIVE
