DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,6:55,MANHATTAN,10019,40.7661449,-73.9972347,"(40.7661449, -73.9972347)",WEST SIDE HIGHWAY,WEST 49 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3364575,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2016,6:50,BROOKLYN,11221,40.6885651,-73.9301802,"(40.6885651, -73.9301802)",GATES AVENUE,MALCOLM X BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3363534,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/01/2016,6:45,,,40.7573772,-73.747488,"(40.7573772, -73.747488)",,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Pavement Defective,,,,3363580,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,6:45,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3363438,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2016,6:40,BRONX,10457,40.8447373,-73.899349,"(40.8447373, -73.899349)",EAST 175 STREET,WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3366569,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,6:30,,,40.640181,-74.0217802,"(40.640181, -74.0217802)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3364801,SPORT UTILITY / STATION WAGON,,,,
01/01/2016,6:30,,,,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3363553,SPORT UTILITY / STATION WAGON,,,,
01/01/2016,6:30,QUEENS,11385,40.7041559,-73.9075068,"(40.7041559, -73.9075068)",ONDERDONK AVENUE,GATES AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3364288,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,VAN,
01/01/2016,6:30,MANHATTAN,10022,40.7621793,-73.9661291,"(40.7621793, -73.9661291)",EAST 60 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3363401,LIVERY VEHICLE,UNKNOWN,,,
01/01/2016,6:30,BROOKLYN,11230,40.6166532,-73.972337,"(40.6166532, -73.972337)",EAST 3 STREET,AVENUE M,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3363487,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,
